Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
CANCER,prostate cancer,Caucasian subjects who had undergone radial prostatectomy between 1984 and 1992,Y,1,2003
OTHER,BsmI vitamin D receptor gene polymorphism,Japanese,Y,1,1999
AGING,fat-free mass and sarcopenia,older caucasian men,Y,1,2004
NEUROLOGICAL,Alzheimer's Disease,Northern Ireland Caucasian,Y,1,1999
PSYCH,schizophrenia,389 US and South African families,Y,1,2004
PSYCH,affective psychoses,Chinese,Y,1,2003
PSYCH,bipolar affective disorder.,Chinese,Y,1,1997
OTHER,aflatoxin-albumin,Gambian,Y,1,2004
IMMUNE,Mite-sensitive asthma,Venezuelan,Y,1,1999
INFECTION,echinococcosis,Chinese,Y,1,2000
CARDIOVASCULAR,subclinical carotid atherosclerosis,australian community population,Y,1,2003
NEUROLOGICAL,Parkinson's disease,Terre,Y,1,2004
DEVELOPMENTAL,neural tube defects,UK,Y,1,2004
RENAL,Diabetic Retinopathy,Caucasian,Y,1,2002
RENAL,kidney dysfunction,Chinese,Y,1,2003
METABOLIC,serum lipid levels,Japanese,Y,1,2002
METABOLIC,cystinuria,Swedish,Y,1,2003
IMMUNE,autoimmune myasthenia gravis,South African and caucasian,Y,1,1996
OTHER,systemic sclerosis,Korean,Y,1,2001
METABOLIC,glucose tolerance,Japanese,Y,1,2005
NEUROLOGICAL,dementia,Chinese,Y,1,2006
METABOLIC,Obesity and insulin response,UK,Y,1,2006
IMMUNE,Crohn's disease ulcerative colitis,Caucasian,Y,1,2006
NEUROLOGICAL,epilepsy,Chinese;Caucasian,Y,1,2007
IMMUNE,"sclerosis, systemic",African American;Caucasian,Y,1,2007
METABOLIC,osteoarthritis,Japanese;Chinese;European;Asian,Y,1,2007
OTHER,hearing loss/deafness,Polish,Y,1,2007
IMMUNE,IgE response IgG,Caucasian,Y,1,2006
VISION,macular degeneration,Caucasian,Y,1,2007
METABOLIC,"diabetes, type 2 kidney failure, chronic",Caucasian;European,Y,1,2007
CARDIOVASCULAR,C-reactive protein,NHANES III; Mexican-Americans; non-Hispanic white; non-Hispanic black,Y,1,2006
PHARMACOGENOMIC,phenobarbital pharmacokinetics phenytoin pharmacokinetics,Asian,Y,1,2006
PHARMACOGENOMIC,amlodipine pharmacokinetics,Korean,Y,1,2006
IMMUNE,asthma atopy,Chinese;Caucasian,Y,1,2006
PSYCH,bipolar disorder schizophrenia,Polish,Y,1,2006
PHARMACOGENOMIC,"depressive disorder, major",Korean,Y,1,2007
PHARMACOGENOMIC,lung cancer,Asian,Y,1,2006
CANCER,head and neck cancer,non-Hispanic,Y,1,2006
IMMUNE,"Addison's disease diabetes, type 1 Graves' disease rheumatoid arthritis",Japanese;Caucasian;New Zealand,Y,1,2007
CHEMDEPENDENCY,alcohol withdrawal alcoholism,Korean,Y,1,2006
METABOLIC,osteoarthritis,Asian,Y,1,2007
METABOLIC,osteonecrosis,Korean,Y,1,2007
METABOLIC,cholesterol metabolic syndrome triglycerides,Finnish;Mexican,Y,1,2006
IMMUNE,Crohn's disease ulcerative colitis,Korean,Y,1,2007
INFECTION,hepatitis B,Vietnamese,Y,1,2006
METABOLIC,"diabetes, type 2 insulin",Mexican,Y,1,2006
IMMUNE,"sclerosis, systemic",Caucasian,Y,1,2006
METABOLIC,body mass metabolic syndrome,Spanish;Caucasian; Indian;Pima Indians,Y,1,2006
HEMATOLOGICAL,"thrombocytopenic purpura, iimmune",Korean,Y,1,1997
PHARMACOGENOMIC,"sulfonylurea failure, secondary",Caucasian,Y,1,2006
CARDIOVASCULAR,heart disease risk factors hypertension leptin obesity,Brazilian,Y,1,2006
NEUROLOGICAL,Parkinson's disease,Spanish;Spanish;European,Y,1,2006
PSYCH,bipolar disorder,Canadian;Italian,Y,1,2006
METABOLIC,glucose tolerance insulin,Finnish,Y,1,2006
CANCER,brain cancer,Caucasian,Y,1,2006
RENAL,"nephropathy, diabetic",Swedish;Caucasian; Finnish,Y,1,2006
CANCER,breast cancer endometriosis uterine fibroids,Indian;Asian,Y,1,2007
PHARMACOGENOMIC,"dyskinesias, levodopa-induced",Caucasian Parkinson Disease patients,Y,1,2006
RENAL,glomerulonephritis,Moscow;Russian,Y,1,2007
PHARMACOGENOMIC,"depressive disorder, major",Mexican;Mexican American,Y,1,2006
METABOLIC,insulin,Chinese;Indian;Singapore;Asian,Y,1,2006
METABOLIC,"body mass cholesterol, LDL glucose insulin",Chinese;Korean,Y,1,2006
METABOLIC,"diabetes, type 2 glucose insulin obesity",French,Y,1,2006
IMMUNE,"diabetes, type 1 juvenile arthritis",Caucasian;Asian,Y,1,2006
IMMUNE,"diabetes, type 1 diabetes, type 2 diabetic nephropathy retinopathy, diabetic",Scandinavian,Y,1,2006
METABOLIC,obesity,Chinese;European;Korean,Y,1,2006
CANCER,breast cancer,Hispanic Caucasian;non-Hispanic,Y,1,2006
PSYCH,personality traits,Mexican,Y,1,2006
NEUROLOGICAL,Parkinson's disease,African American;Indian,Y,1,2007
METABOLIC,"diabetes, type 2",Danish;European;Icelandic,Y,1,2006
METABOLIC,"diabetes, type 2",Moroccan,Y,1,2007
OTHER,cystic fibrosis,European,Y,1,2006
METABOLIC,birth weight,European,Y,1,2007
METABOLIC,antilipolytic insulin sensitivity,Caucasian,Y,1,2006
AGING,longevity,Italian,Y,1,2007
IMMUNE,asthma eczema,"Scottish, Irish and Danish",Y,1,2006
PHARMACOGENOMIC,"digoxin, serum concentration",Japanese,Y,1,2003
METABOLIC,triglycerides; insulin; cardiovascular disease risk,Korean,Y,1,2006
NEUROLOGICAL,Alzheimer's Disease,UK Causcasion,Y,1,1999
AGING,Dominant Progressive Deafness,four families,Y,1,2003
CARDIOVASCULAR,cardiovascular disease; bilirubin,Chinese,Y,1,2004
METABOLIC,ANS function,Japanese,Y,1,2003
IMMUNE,Decreased airway responsiveness,Australian,Y,1,1999
METABOLIC,"body mass; cholesterol; diabetes, type 2; blood pressure",Chinese,Y,1,2000
CARDIOVASCULAR,Coronary Heart Disease,Native Gran Canaria Island habitants (Spain) ??,Y,1,2001
CARDIOVASCULAR,carotid intimal-medial thickening,community-based,Y,1,2001
CHEMDEPENDENCY,alcoholism,mixed-ancestry,Y,1,2001
CARDIOVASCULAR,carotid atherosclerosis,Finnish,Y,1,2005
METABOLIC,"cholesterol, LDL; C-reactive protein; triacylglycerol",Korean,Y,1,2004
CARDIOVASCULAR,cardiovascular,caucasian,Y,1,2001
OTHER,persistent vegetative state,Chinese,Y,1,2002
IMMUNE,"retinopathy, diabetic; nephropathy in other diseases",Japanese,Y,1,2003
OTHER,late-onset AD,clinic- and community-based,Y,1,1998
METABOLIC,bone density; fractures,Spanish,Y,1,2005
METABOLIC,triglycerides; obesity,Swedish,Y,1,2004
CANCER,colorectal cancer,Greek,Y,1,2004
IMMUNE,Sjogren's syndrome,Caucasian,Y,1,2002
INFECTION,SARS infection,Hong Kong,Y,1,2006
IMMUNE,Graves' disease; Hashimoto's thyroiditis,Korean,Y,1,2003
OTHER,macroangiopathy,Japanese,Y,1,2001
OTHER,cystic fibrosis,Russian,Y,1,2003
OTHER,ARDS mortality,112 ARDS (Caucasian),Y,1,2002
CARDIOVASCULAR,C-reactive protein,African American,Y,1,2002
IMMUNE,Graves' disease,white UK born,Y,1,2003
IMMUNE,Graves' disease,Iranian,Y,1,2003
REPRODUCTION,"pregnancy loss, recurrent",Chinese,Y,1,2005
IMMUNE,rheumatoid arthritis; celiac disease,Dutch,Y,1,2005
METABOLIC,bone density; height,Danish,Y,1,2004
CANCER,esophageal carcinoma,north Chinese,Y,1,2003
VISION,"glaucoma, primary congenital",Indian,Y,1,2004
CHEMDEPENDENCY,smoking behavior,Ghanaian,Y,1,2005
METABOLIC,plasma lipoproteins,Canadian,Y,1,2001
OTHER,Narcolepsy-cataplexy syndrome,caucasian,Y,1,1999
CANCER,lung cancer,"Mexican, African American",Y,1,2001
OTHER,radiographic osteoarthritis of the knee,elderly,Y,1,2003
HEMATOLOGICAL,factor V Leiden,thrombotic family,Y,1,1997
OTHER,Haemophilia,Chinese,Y,1,1999
DEVELOPMENTAL,cleft lip with cleft palate; cleft lip without cleft palate,Japanese,Y,1,2004
METABOLIC,blood pressure,Caucasian,Y,1,2003
INFECTION,ovalocytosis and malaria susceptibility,"Wosera, Papua New Guinea (Melanesians)",Y,1,2001
METABOLIC,Colon Cancer,residents of North Carolina,Y,1,2003
IMMUNE,rheumatoid arthritis,Mexican,Y,1,2005
INFECTION,H. pylori infection,Vietnamese,Y,1,2004
IMMUNE,"glomerulonephritis, Hepatitis B virus-associated",Korean,Y,1,2003
INFECTION,typhoid fever,Vietnamese,Y,1,2001
IMMUNE,"thyroiditis, chronic lymphocytic",Japanese,Y,1,2003
CANCER,breast cancer,Chinese women in Singapore,Y,1,2003
CHEMDEPENDENCY,alcohol dependence,Taiwanese,Y,1,2002
PSYCH,"depressive disorder, major",Korean,Y,1,2004
METABOLIC,"cholesterol; diabetes, type 2",Chinese,Y,1,2001
IMMUNE,reactive arthritis,Finnish,Y,1,2001
IMMUNE,Atopic asthma,Dutch,Y,1,1999
IMMUNE,asthma; atopy,Chinese,Y,1,2001
IMMUNE,periodontal disease,unknown,Y,1,2003
CANCER,chronic atrophic gastritis and gastric carcinoma,North Portugal,Y,1,2003
INFECTION,Severe sepsis,78 sepsis pts,Y,1,2002
IMMUNE,Hyper-IgE syndrome. severe eczema. atopy,U.S.,Y,1,1997
METABOLIC,"diabetes, type 2; glucose tolerance; obesity",Danish,Y,1,2004
METABOLIC,hyperlipidemia,Japanese,Y,1,2001
METABOLIC,age-related skeletal disorders,Japanese postmenopausal women,Y,1,2002
CARDIOVASCULAR,coronary artery calcium,type 1 diabetes,Y,1,2002
METABOLIC,dyslipidemia and insulin resistance,Japanese,Y,1,2002
METABOLIC,insulin resistance,Mexican American,Y,1,2004
METABOLIC,Gestational Diabetes,Caucasian,Y,1,2004
IMMUNE,autoimmune inflammatory disease,Swedish,Y,1,2005
IMMUNE,chronic periodontitis,Brazilian,Y,1,2003
CARDIOVASCULAR,coronary artery disease,French-Canadians,Y,1,2001
CANCER,prostate cancer,159 families affected with HPC. European and African American descent,Y,1,2002
INFECTION,"sepsis; lung injury, acute","European American, African American",Y,1,2006
REPRODUCTION,Endometriosis,United Kingdom,Y,1,2001
IMMUNE,"beta-cell function; diabetes, type 1",Japanese,Y,1,2002
IMMUNE,EO,German. Swedish,Y,1,2001
METABOLIC,"diabetes, type 2; glucose tolerance",Swedish,Y,1,2005
VISION,primary open-angle glaucoma,Southern Chinese,Y,1,2003
METABOLIC,"cholesterol; cholesterol, LDL",Japanese,Y,1,2004
CARDIOVASCULAR,"atherosclerosis, coronary",Indian,Y,1,2005
NEUROLOGICAL,Charcot-Marie-Tooth disease type 1A,Sardinian,Y,1,1997
METABOLIC,plasma lipoproteins,Canadian aboriginal,Y,1,2000
CANCER,childhood brain tumor,Mainly non-Hispanic Caucasian,Y,1,2005
METABOLIC,"diabetes, type 2; obesity",Chinese,Y,1,2004
NEUROLOGICAL,Jakob-Creutzfeldt disease,Japanese,Y,1,2004
IMMUNE,psoriatic arthritis,Canadian,Y,1,2005
IMMUNE,systemic lupus erythematosus,North American white individuals,Y,1,2004
METABOLIC,"diabetes, type 2; obesity",Danish,Y,1,2005
CARDIOVASCULAR,"diabetes, type 2; hypertension",Chinese,Y,1,2003
METABOLIC,plasma lipid levels and body mass index,white,Y,1,1999
METABOLIC,plasmatic PAI-1 activity,Italian,Y,1,1998
IMMUNE,chronic obstructive pulmonary disease/COPD,Indian,Y,1,2005
PSYCH,Anxiety traits,Japanese,Y,1,1999
PSYCH,impulse control disorder,Korean,Y,1,2003
METABOLIC,"cholesterol; diabetes, type 2; hypertension; nephropathy, diabetic; albuminuria",Korean,Y,1,2006
DEVELOPMENTAL,micropenis,Japanese,Y,1,2003
CANCER,stomach cancer,Italians,Y,1,2005
METABOLIC,iron load,African American,Y,1,2001
OTHER,idiopathic pulmonary fibrosis,white subjects from Spain,Y,1,2003
IMMUNE,asthma; atopy,Korean,Y,1,2003
IMMUNE,Asthma,U.S.,Y,1,2002
IMMUNE,"diabetes, type 1",Moroccan,Y,1,2003
METABOLIC,"diabetes, type 2",Spanish / Caucassian,Y,1,2003
PSYCH,schizophrenia,Han Chinese,Y,1,2001
PSYCH,schizophrenia; bipolar disorder,Scottish/UK,Y,1,2005
METABOLIC,Body Mass Index,South Indian,Y,1,1999
IMMUNE,"diabetes, type 1",Dalmatian population of South Croatia,Y,1,2003
CANCER,breast cancer risk,caucasian,Y,1,2001
METABOLIC,lead toxicity,Caucasian,Y,1,2003
OTHER,keratoconus,Italian,Y,1,2005
RENAL,diabetic retinopathy,adolescents,Y,1,1999
NEUROLOGICAL,Alzheimer's disease; Parkinson's disease; multiple system atrophy,Japanese,Y,1,2005
CHEMDEPENDENCY,alcoholism,"population based sample, caucasian males",Y,1,2000
CANCER,lung cancer; breast cancer; liver cancer; oral cancer; thyroid cancer; cervical cancer,Taiwanese,Y,1,2003
IMMUNE,SPT (HDM),Venezuelan,Y,1,1999
METABOLIC,"diabetes, type 2",Ashkenazi,Y,1,2004
AGING,Longevity,Finnish,Y,1,2005
IMMUNE,Rheumatoid arthritis,Caucasian patients,Y,1,2002
CARDIOVASCULAR,"atherosclerosis, coronary; homocysteine",French,Y,1,2005
CARDIOVASCULAR,coronary atherosclerotic heart disease in Chinese,Chinese,Y,1,2002
IMMUNE,Behcet's disease; vasculitis,Korean,Y,1,2003
CARDIOVASCULAR,cardiac growth,caucasian army recruits and MONICA Augsburg,Y,1,2002
REPRODUCTION,azoospermia,Chinese,Y,1,2005
METABOLIC,plasma lipoprotein(a) levels,Japanese,Y,1,1993
CARDIOVASCULAR,aortoarteritis,Chinese,Y,1,2002
NEUROLOGICAL,Parkinson's disease,Irish,Y,1,2003
CARDIOVASCULAR,"stroke, myocardial infarction",Chinese,Y,1,2006
OTHER,coal workers' pneumoconiosis (CWP),Coal miners,Y,1,2003
PHARMACOGENOMIC,epilepsy,Japanese;European,Y,1,2006
REPRODUCTION,intrahepatic cholestatis of pregnancy,Italian,Y,1,2006
RENAL,diabetic nephropathy,Mexican,Y,1,2007
CHEMDEPENDENCY,alcohol abuse,Indian,Y,1,2006
VISION,"retinopathy, diabetic",Brazilian;Caucasian,Y,1,2006
REPRODUCTION,"pregnancy loss, recurrent",German,Y,1,2007
METABOLIC,"diabetes, type 2 obesity",Caucasian,Y,1,2007
METABOLIC,"diabetes, type 2",Indian;Pima Indians,Y,1,2006
METABOLIC,weight loss,Caucasian;South African,Y,1,2006
PHARMACOGENOMIC,hypertension,Caucasian,Y,1,2006
INFECTION,"hepatitis B, chronic",Korean,Y,1,2006
DEVELOPMENTAL,neural tube defects,non-Hispanic,Y,1,2007
INFECTION,HIV,Brazilian,Y,1,2006
